--SOURCE: CSMN666LABS SPRING 2005
--ZIPCODE,CITY,STATE
10000-0049MADEUP         QQ
10080-2779PORT ROYAL     SC
10080-2825PEARLAND       TX
10080-2834MANHASSET      NY
10080-2852ANNISTON       AL
10080-2855IOWA CITY      IA
10080-2857CINCINNATI     HI
10080-2888CLEVELAND      OH
10080-2978CHICAGO        IL
10080-3025WAUKEGAN       IL
10080-3055PROVIDENCE     RI
10080-3060OAK LAWN       IL
10080-3088RENO           NV
10080-3090NEW CANAAN     CT
10080-3098VALHALLA       NY
10080-3114ST. CLAIR SHOREMI
10080-3130STERLING HEIGHTMI
10080-3143DENVER         CO
10080-3166RICHMOND       VA
10080-3181BIRMINGHAM     AL
10080-3209WINSTON-SALEM  NC
10080-3219AUGUSTA        GA
10080-3240CHICAGO        IL
10080-3249SHREVEPORT     LA
10080-3269NEW ORLEANS    LA
10080-3272DEL MAR        CA
10080-3278SHREVEPORT     LA
10080-3293BRIGHTON       MA
10080-3324HOUSTON        TX
10080-3362SAN FRANCISCO  CA
10080-3389DALLAS         TX
10080-3392CEDAR PARK     TX
10080-3433HIGHLAND PARK  NJ
10080-3460PORTLAND       OR
10080-3462MILWAUKEE      WI
10080-3496OMAHA          NE
10080-3524DENVER         CO
10080-3537FORT COLLINS   CO
10080-3575CORVALLIS      OR
10080-3602LOS ANGELES    CA
10080-3629WAUKESHA       WI
10080-3665LOS ANGELES    CA
10080-3685OAKLAND        CA
10080-3706BALTIMORE      MD
10080-3753DENVER         CO
10080-3755BROOKLYN       NY
10080-3940SMITHFIELD     RI
10080-3946WATERFORD      CT
10080-3947NORWALK        CT
10080-3955NEW YORK       NY
10080-3957NASHVILLE      TN
10080-3958WINSTON-SALEM  NC
10080-3968AMHERST        NY
10080-3977FLUSHING       NY
10080-3978ALBANY         NY
10080-4006BROOKLYN HEIGHTNY
10080-4075LIVINGSTON     NJ
10080-4095BLACKWOOD      NJ
10080-4100WAYNE          NJ
10080-4109BETHLEHEM      PA
10080-4111FRANKLIN LAKES NJ
10080-4134NORFOLK        VA
10080-4147PHILA.         PA
10080-4186BALTIMORE      MD
10080-4200VIRGINIA BEACH VA
10080-4203NEWARK         DE
10080-4221CHAPEL HILL    NC
10080-4244BROCKTON       MA
10080-4259JACKSON        TN
10080-4264ST LAMBERT     QC
10080-4270SUNRISE        FL
10080-4290NOVI           MI
10080-4291HOLLYWOOD      FL
10080-4292ALBUQUERQUE    NM
10080-4313EL PASO        TX
10080-4320PHILADELPHIA   PA
10080-4352FLUSHING       NY
10080-4353LEXINGTON      KY
10080-4364CRETE          IL
10080-4390DETROIT        MI
10080-4409INDIANAPOLIS   IN
10080-4412OAKLAND        CA
10080-4414CLEVELAND      OH
10080-4423COLUMBUS       OH
10080-4426ANN ARBOR      MI
10080-4430ROYAL OAK      MI
10080-4434MANHASSET      NY
10080-4454FAIRFIELD      CT
10080-4499NASHVILLE      TN
10080-4528KARNACK        TX
10080-4539TEMPLE         TX
10080-4558MESQUITE       TX
10080-4587BEMIDJI        MN
10080-4624NEW YORK       NY
10080-4681ANTIOCH        CA
10080-4717CINCINNATI     OH
10080-4720SACRAMENTO     CA
10080-4726WARNER ROBINS  KY
10080-4758COLTON         CA
10080-4764YORBA LINDA    CA
10080-4775LOS ANGELES    CA
10080-4828PITTSBURGH     PA
10080-4886EDISON         NJ
10080-4888MORGANTOWN     WV
10080-4903TUPELO         MS
10080-4910GUAYNABO       PR
10080-4972HOUSTON        TX
10080-4973HOUSTON        TX
10080-4989LOS ANGELES    CA
10080-5039PHILADELPHIA   PA
10080-5052ATLANTA        GA
10080-5065SPRINGFIELD    MA
10080-5087PROVIDENCE     RI
10080-5176HERSHEY        PA
10080-5212FLUSHING       NY
10080-5216BRIGHTON       MA
10080-5217COLLEGE POINT  NY
10080-5227FLUSHING       NY
10080-5236STAMFORD       CT
10080-5251SYRACUSE       NY
10080-5261NEW YORK       NY
10080-5267PIKESVILLE     MD
10080-5317ABERDEEN       NJ
10080-5326PITTSBURGH     PA
10080-5334PITTSBURGH     PA
10080-5337PHILA.         PA
10080-5340VOORHEES       NJ
10080-5346BOSTON         MA
10080-5350MIAMI          FL
10080-5360GLENOLDEN      PA
10080-5368BALTIMORE      MD
10080-5407STATEN ISLAND  NY
10080-5415DURHAM         NC
10080-5434WASHINGTON     DC
10080-5438BALTIMORE      MD
10080-5460MEMPHIS        TN
10080-5480FLINT          MI
10080-5527AUGUSTA        GA
10080-5557TACOMA         WA
10080-5570NEW ORLEANS    LA
10080-5582AUGUSTA        GA
10080-5612DALLAS         TX
10080-5627COLUMBUS       OH
10080-5650COLUMBUS       OH
10080-5654TRANSFER       PA
10080-5675TORRANCE       CA
10080-5676NEW YORK       NC
10080-5697NEW HAVEN      CT
10080-5707WASHINGTON     DC
10080-5729SPRINGFIELD    IL
10080-5741CHICAGO        IL
10080-5752DETROIT        MI
10080-5764COLLIERVILLE   TN
10080-5769GUANICA        PR
10080-5797CHICAGO        IL
10080-5816DETROIT        MI
10080-5820FOREST PARK    IL
10080-5848PITTSBURGH     PA
10080-5865KANSAS CITY    MO
10080-5922NASHVILLE      TN
10080-5953NEW ORLEANS    LA
10080-5975NEW ORLEANS    LA
10080-5988OKLAHOMA CITY  OK
10080-6008NORMAN         OK
10080-6031HOUSTON        TX
10080-6032SAINT PAUL     MN
10080-6037FORT HOOD      TX
10080-6107NEWPORT BEACH  CA
10080-6114TACOMA         CO
10080-6116WICHITA        KS
10080-6117AMHERST        NY
10080-6124NEW YORK       NY
10080-6129JACKSONVILLE   FL
10080-6136EXCELSIOR SPRINMO
10080-6142WASHINGTON     MO
10080-6176OMAHA          NE
10080-6179PHOENIX        AZ
10080-6215NEW CUMBERLAND WV
10080-6222GRAND RAPIDS   MI
10080-6232BALTIMORE      MD
10080-6233COLUMBIA       SC
10080-6288ORLANDO        FL
10080-6291PORTLAND       OR
10080-6343LOS ANGELES    CA
10080-6345GRAND RAPIDS   MI
10080-6351TUCSON         AZ
10080-6408PORTLAND       OR
10080-6420SAN JUAN       PR
10080-6427ALBUQUERQUE    NM
10080-6428BERKELEY       CA
10080-6432SAN FRANCISCO  CA
10080-6447NEW ORLEANS    LA
10080-6459PLANTATION     FL
10080-6464FORT SAM HOUSTOFL
10080-6477CHAPEL HILL    NC
10080-6485NEW YORK       NY
10080-6516SAN DIEGO      CA
10080-6517STANFORD       CA
10080-6518EAST MEADOW    NY
10080-6521LOS ANGELES    CA
10080-6527SACRAMENTO     CA
10080-6539SAN FRANCISCO  CA
10080-6566NEW YORK       NY
10080-6571WORCESTER      MA
10080-6589BROOKLINE      MA
10080-6595CHAMPAIGN      IL
10080-6598W HARTFORD     CT
10080-6605MARTINDALE     TX
10080-6610WORCESTER      MA
10080-6624WASHINGTON     DC
10080-6636BROOKLYN       NY
10080-6673ELLICOTT CITY  MD
10080-6689NEW YORK       NY
10080-6753BALTIMORE      MD
10080-6820SOMERSET       NJ
10080-6832WINSTON SALEM  NC
10080-6850DANVILLE       PA
10080-6853NEPTUNE        NJ
10080-6865HENDERSONVILLE NC
10080-6871LANCASTER      SC
10080-6931COLUMBUS       OH
10080-6933BIRMINGHAM     AL
10080-6946CLEVELAND      OH
10080-6947CLEVELAND      OH
10080-6955LAWTON         OK
10080-6998HUNTINGTON     WV
10080-7007RICHTON PARK   IL
10080-7026GROSSE ILE     MI
10080-7028CHICAGO        IL
10080-7057MADISON        WI
10080-7075MOUNT JULIET   TN
10080-7088ATTALLA        AL
10080-7089TUSKEGEE       AL
10080-7098JACKSON        MS
10080-7099MOUNTAIN BROOK AL
10080-7119GRETNA         LA
10080-7132MELROSE PARK   IL
10080-7185DALLAS         TX
10080-7188LUBBOCK        TX
10080-7200DENVER         CO
10080-7285MISSISSAUGA    ON
10080-7348LIBERTY        MO
10080-7355RAPID CITY     SD
10080-7359SCOTTSDALE     AZ
10080-7391DECATUR        GA
10080-7445ENCINO         CA
10080-7456LA JOLLA       CA
10080-7458EAST PALO ALTO CA
10080-7462CARSON         CA
10080-7466BROOKLINE      MA
10080-7471SAN FRANCISCO  CA
10080-7481TEMPLE         TX
10080-7483ANN ARBOR      MI
10080-7505HATILLO        PR
10080-7523BOLTON         MS
10080-7529MIAMI          FL
10080-7542TAMPA          FL
10080-7543JAMAICA ESTATESNY
10080-7563PONCE,         PR
10080-7590LOS ANGELES    CA
10080-7609GJOA HAVEN     NT
10080-7611CAMBRIDGE      MA
10080-7640RICHMOND       BC
10080-7642DELTA          BC
10080-7646VANCOUVER      BC
10080-7656CARBONDALE     IL
10080-7658BRONX          NY
10080-7751PITTSBURGH     PA
10080-7774BETHLEHEM      PA
10080-7783PRINCETON      NJ
10080-7787BETHLEHEM      PA
10080-7814BOSTON         MA
10080-7822HATBORO        PA
10080-7850BEAVER FALLS   PA
10080-7869ALBUQUERQUE    NM
10080-7878WASHINGTON     DC
10080-7887HAMPTON        VA
10080-7983MIAMI          FL
10080-8007DETROIT        MI
10080-8059PITTSBURGH     PA
10080-8079CHARLESTON     SC
10080-8087ST LOUIS       MO
10080-8098CARBONDALE     IL
10080-8105BROOKLYN       NY
10080-8106MILWAUKEE      WI
10080-8108BATAVIA        IL
10080-8152DETROIT        MI
10080-8158DETROIT        MI
10080-8167KALAMAZOO      MI
10080-8190PENSACOLA      FL
10080-8193EAU CLAIRE     WI
10080-8204FT LEE         VA
10080-8235SHREVEPORT     LA
10080-8268PORTSMOUTH     VA
10080-8270BOULDER        CO
10080-8344AUSTIN         TX
10080-8355SAN FRANCISCO  CA
10080-8366WACO           TX
10080-8420MONTGOMERY     AL
10080-8535SALINAS        CA
10080-8607SAN JUAN       PR
10080-8627SAN LORENZO    CA
10080-8628BOLINGBROOK    IL
10080-8659MIAMI          FL
10080-8681TUCSON         AZ
10080-8685BALTIMORE      MD
10080-8693ALAMEDA        CA
10080-8713AUSTIN         TX
10080-8746BELLEVILLE     NJ
10080-8749BOWIE          MD
10080-8751MIDLAND        MI
10080-8760CHAMBLEE       GA
10080-8763GUTHRIE        OK
10080-8785HONOLULU       HI
10080-8799BROKEN ARROW   OK
10080-8813ST LOUIS       MO
10080-8858DALLAS         TX
10080-8863DURHAM         NC
10080-8870PORTLAND       ME
10080-8887CHARLESTOWN    MA
10080-8894NORTHRIDGE     CA
10080-8899BROOKLYN       NY
10080-8910OCEAN SPRINGS  MS
10080-8912HOWARD BEACH   NY
10080-8933DUNN           NC
10080-8936JAMAICA        NY
10080-8956STATEN ISLAND  NY
10080-8962KINKORA        PE
10080-8974CORNER BROOK   NF
10080-8988HALIFAX        NS
10080-9023SOUTH ORANGE   NJ
10080-9039JERSEY CITY    NJ
10080-9053PHILADELPHIA   PA
10080-9064COLUMBIA       SC
10080-9102STATEN ISLAND  NY
10080-9106DECATUR        GA
10080-9123MILTON         WV
10080-9132WINTERVILLE    NC
10080-9166GARLAND        TX
10080-9171WINNIPEG       MB
10080-9183CINCINNATI     OH
10080-9230CHICAGO        IL
10080-9249CHICAGO        IL
10080-9266COLTON         CA
10080-9288WESTLAND       MI
10080-9293GRANDVILLE     MI
10080-9308TRAVERSE CITY  MI
10080-9326SAVANNAH       GA
10080-9332TULSA          OH
10080-9335ELIZABETHTOWN  KY
10080-9349HOUSTON        TX
10080-9363TOUGALOO       MS
10080-9369TULSA          OK
10080-9377AUSTIN         TX
10080-9388NEW ORLEANS    LA
10080-9403OWASSO         OK
10080-9413BROWNSVILLE    TX
10080-9436LUBBOCK        TX
10080-9446ALBUQUERQUE    NM
10080-9450WEBSTER        TX
10080-9454ENCINITAS      CA
10080-9464ST PAUL        MN
10080-9489AUSTIN         TX
10080-9494AMHERSTBURG    ON
10080-9500MISSISSAUGA    FR
10080-9548OMAHA          NE
10080-9555KANSAS CITY    MS
10080-9560LITTLETON      CO
10080-9571FORT COLLINS   CO
10080-9586COSTA MESA     CA
10080-9588SEATTLE        WA
10080-9593DAVIS          CA
10080-9600SAN DIEGO      CA
10080-9633WINNETKA       CA
10080-9635PASADENA       CA
10080-9638TUSTIN         CA
10080-9642GARDEN GROVE   CA
10080-9654SAN FRANCISCO  CA
10080-9666HAYWARD        CA
10080-9669NEW YORK       NY
10080-9690ALEXANDRIA     VA
10080-9692SILVER SPRING  MD
10080-9737CAMBRIDGE      MA
10080-9759LOS ANGELES    CA
10080-9774SAN DIEGO      CA
10080-9778GARDENA        CA
10080-9782IRVINE         CA
10080-9787LOS ANGELES    CA
10080-9814WINNIPEG       MB
10080-9834EDMONTON       AB
10080-9839PORT MOODY     BC
10080-9844ABBOTSFORD     BC
10090-0653DANVILLE       PA
10090-0667TAMPA          FL
10090-0718CHARLOTTESVILLEVA
10090-1233RACINE         WI
10090-1319SPRINGFIELD    IL
10090-1442DURHAM         NC
10090-2030GALVESTON      TX
10090-2259BELLEVUE       WA
10090-3163WORCESTER      MA
10090-3262POULSBO        WA
10090-3301PLYMOUTH MEETINPA
10090-3493FT LAUDERDALE  FL
10090-3996GALVESTON      TX
10090-4167CHESAPEAKE     VA
10090-4428LOS ANGELES    CA
10090-4595ALAMEDA        CA
10090-4601CHARLOTTESVILLEVA
10090-4748LOS ANGELES    CA
10090-4769PHILADELPHIA   PA
10090-4860OMAHA          NE
10090-4874SAYRE          PA
10090-4879OAK CREEK      WI
10090-5619TUCSON         AZ
10090-5745WASHINGTON     DC
10090-5811GALVESTON      TX
10090-5896CINCINNATI     OH
10090-6256CLEVELAND      OH
10090-6291PHILADELPHIA   PA
10090-6803LITTLE ROCK    AR
10090-6858LITTLE ROCK    AR
10090-7036TORONTO        ON
10090-7451TORRANCE       CA
10090-7458LOUISVILLE     KY
10090-7702POWAY          CA
10090-8649RIDGEWOOD      NJ
10090-9921MORGANTOWN     WV
10100-0033LEBANON        NH
10100-0221CALIFORNIA     CA
10100-0651GREENVILLE     NC
10100-0779COLUMBUS       OH
10100-0995HARLINGEN      TX
10100-1146LITTLE ROCK    AR
10100-1237OAKVILLE       ON
10100-1353DALLAS         TX
10100-1742BRIMIGHAM      AL
10100-2459BROKLYN        NY
10100-2512ATLANTA        GA
10100-2685ROCHESTER      NY
10100-2862BRONX          NY
10100-3117MEMPHIS        TN
10100-3736BOSTON         MA
10100-3971COLTON         CA
10100-4143LITTLE ROCK    AR
10100-4529GREENVILLE     NC
10100-4619OKLAHOMA  CITY OK
10100-4891SACRAMENTO     CA
10100-5862CINCINNATI     OH
10100-5962GREENSBORO     NC
10100-6116ORCHARD PARK   NY
10100-6911CARRBORO       NC
10100-6977FLOWOOD        MS
10100-7099JACKSONVILLE   FL
10100-7143UPLAND         PA
10100-7178NASHVILLE      TN
10100-7228SOUTH BURLINGTOVT
10100-7506SUDBURY        ON
10100-7852BIRMINGHAM     AL
10100-8051WINSTON-SALEM  NC
10100-8441DALLAS         TX
10100-8831LITTLE ROCK    AR
10100-8860OXNARD         CA
10100-8889WEST ROXBURY   MA
10100-8951CINCINNATI     OH
10100-9157CLOVIS         NM
10100-9254BURLINGTON     MA
10100-9261RACINE         WI
10100-9269FORT SAM HOUSTOTX
10100-9352ROANOKE        VA
10100-9447HILLS          IA
10100-9454VALHALLA       NY
10100-9939MEMPHIS        TN
10100-9944MILWAUKEE      WI
10110-0063CLEVELAND      OH
10110-0231CAROLINA       PR
10110-0269ST LOUIS MO    MO
10110-0297COROZAL        PR
10110-0510BRONX          NY
10110-0573COLUMBUS       OH
10110-0591SENECA         SC
10110-0624BRIGHTON       MA
10110-0730MINNEAPOLIS    MN
10110-0778PENNSAUKEN     NJ
10110-0839SCHAUMBURG     IL
10110-0914CHICAGO        IL
10110-0924GLEN BURNIE    MD
10110-1057MADISON        WI
10110-1068BAYSIDE        NY
10110-1285NEW ORLEANS    LA
10110-1287CHARLESTON     SC
10110-1364PHOENIX        AZ
10110-1451YORK           PA
10110-1922SAN FRANCISCO  CA
10110-2104BEDFORD HEIGHTSOH
10110-2172COLUMBIA       MO
10110-2188CHICAGO        IL
10110-2306BAYSIDE        NY
10110-2463NEW YORK       NY
10110-2508HOT SPRINGS    AR
10110-2553NEWTON         MA
10110-2604STATEN ISLAND  NY
10110-2813CHARLESTON     SC
10110-2841WAYNE          NJ
10110-2895OAK PARK       IL
10110-2945DALLAS         TX
10110-2961DEARBORN       MI
10110-3042WORCESTER      MA
10110-3179QUINCY         IL
10110-3234AIEA           HI
10110-3279LAKE OSWEGO    OR
10110-3344LUTZ           FL
10110-3440MINNEAPOLIS    MN
10110-3446BOSTON         MA
10110-3504BOSTON         MA
10110-3528BROOKLYN       NY
10110-3602NEW YORK       NY
10110-3655BOSTON         MA
10110-3830ALBUQUERQUE    NM
10110-3890CAROLINA       PR
10110-3892TOA ALTA       PR
10110-3911PHILADELPHIA   PA
10110-4033PITTSBURGH     PA
10110-4064NEW YORK       NY
10110-4090WYNNEWOOD      PA
10110-4102YPSILANTI      MI
10110-4159CINCINNATI     OH
10110-4238NUTLEY         NJ
10110-4347BOWIE          MD
10110-4416LACKLAND AFB   TX
10110-4477MAYWOOD        IL
10110-4616NEWARK         NJ
10110-4639ATLANTA        GA
10110-4647HOUSTON        TX
10110-4649TEMPLE         TX
10110-4693ST. LOUIS      MO
10110-4708FARGO          ND
10110-4718WICHITA        KS
10110-4752CHICAGO        IL
10110-4763LOS ANGELES    CA
10110-4796LOS ANGELES    CA
10110-4808PONCE          PR
10110-4900PROVIDENCE     RI
10110-4917YONKERS        NY
10110-4972HARTFORD       CT
10110-4982PHILADELPHIA   PA
10110-5018JAMAICA        NY
10110-5063DAYTON         OH
10110-5117ROCKFORD       IL
10110-5122MILWAUKEE      WI
10110-5195ROCKVILLE      MD
10110-5209BARTLESVILLE   OK
10110-5244ALEXANDRIA     VA
10110-5275FRASERVILLE    ON
10110-5390FRESNO         CA
10110-5501AMHERSTBURG    ON
10110-5509CHAPEL HILL    NC
10110-5536LOUISVILLE     KY
10110-5538YOUNGSTOWN     OH
10110-5625HOUSTON        TX
10110-5663PHILADELPHIA   PA
10110-5671DETROIT        MI
10110-5693PHILADELPHIA   PA
10110-5697NEW YORK       NY
10110-5777MILIANI        HI
10110-5798DURHAM         NC
10110-5897PORTSMOUTH     VA
10110-5971CHICAGO        IL
10110-5992MEMPHIS        TN
10110-6033LEAGUE CITY    TX
10110-6211CHEYENNE       WY
10110-6299PINE BLUFF     AR
10110-6376DALLAS         TX
10110-6385DENVER         CO
10110-6433CULVER CITY    CA
10110-6441SEATTLE        WA
10110-6499HONOLULU       HI
10110-6550NORTH CHICAGO  IL
10110-6573WEST HOLLYWOOD CA
10110-6575JENKINTOWN     PA
10110-6717ANN ARBOR      MI
10110-6936TULSA          OK
10110-6969BELTON         TX
10110-7006ST LOUIS       MO
10110-7039BOSTON         MA
10110-7084ALBUQUERQUE    NM
10110-7193WAIALUA        HI
10110-7221EDGEWATER      NJ
10110-7253BALTIMORE      MD
10110-7321ENFIELD        CT
10110-7340PROVIDENCE     RI
10110-7359BROOKLYN       NY
10110-7366NEW HAVEN      CT
10110-7382BEDMINSTER     NJ
10110-7395JERSEY CITY    NJ
10110-7401NEW YORK       NY
10110-7448GAINESVILLE    FL
10110-7466DANVILLE       PA
10110-7519BKLYN.,        NY
10110-7526NEWARK         DE
10110-7549PITTSBURGH     PA
10110-7586DANVILLE       PA
10110-7632SUMMIT         NJ
10110-7637VIRGINIA BEACH VA
10110-7640JACKSON        MO
10110-7715MACON          GA
10110-7745MIAMI          FL
10110-7770BIRMINGHAM     AL
10110-7780WINSTON-SALEM  NC
10110-7864BRONX          NY
10110-7874SAN DIEGO      CA
10110-7883WASHINGTON     DC
10110-7951CHICAGO        IL
10110-8008KNOXVILLE      TN
10110-8019HOOVER         AL
10110-8061JACKSON        MS
10110-8153SAN ANTONIO    TX
10110-8257MINNEAPOLIS    MN
10110-8313DENVER         CO
10110-8351RENO           NV
10110-8367COLTON         CA
10110-8374ALBUQUERQUE    NM
10110-8394FRESNO         CA
10110-8454PROVO          UT
10110-8456NEW HAVEN      CT
10110-8468PONCE          PR
10110-8505CHARLESTON     SC
10110-8605YONKERS        NY
10110-8608PHILADELPHIA   PA
10110-8633WHITESTONE     NY
10110-8635WINSTON-SALEM  NC
10110-8655NEW YORK       NY
10110-8664ATLANTA        GA
10110-8705PHILADELPHIA   PA
10110-8723MEDFORD        NJ
10110-8736CHAPEL HILL    NC
10110-8754BETHLEHEM      PA
10110-8760BLOOMSBURG     PA
10110-8772YORK           PA
10110-8785BALTIMORE      MD
10110-8801BAYSIDE        NY
10110-8823ALBANY         NY
10110-8826ROLESVILLE     NC
10110-8856DENVER         CO
10110-8882JACKSONVILLE   FL
10110-8970HAZELCRET      IL
10110-9042CATLETTSBURG   KY
10110-9059ASHBURN        VA
10110-9086LITTLE ROCK    AK
10110-9093SEATTLE        WA
10110-9130LAGO VISTA     TX
10110-9191INDIANAPOLIS   IN
10110-9215TORONTO        ON
10110-9268LEBANON        NH
10110-9274LOS ANGELES    CA
10110-9297LOS ANGELES    CA
10110-9358JACKSON        MS
10110-9362MAYWOOD        IL
10110-9381ALLENTOWN      PA
10110-9383PITTSBURGH     PA
10110-9418JAMAICA PLAIN  MA
10110-9448SAN JUAN       PR
10110-9472JACKSONVILLE   FL
10110-9481PLANTATION     FL
10110-9534VANCOUVER      BC
10110-9551DAYTON         OH
10110-9568MINNEAPOLIS    MN
10110-9579FARMINGTON     CT
10110-9586RIVER RIDGE    LA
10110-9589AUGUSTA        ME
10110-9655PHILADELPHIA   PA
10110-9707WESTHAMPTON BEANY
10110-9713HOUSTON        TX
10110-9744PALO ALTO      CA
10110-9745CINCINNATI     OH
10110-9791NEW YORK       NY
10110-9794PHILADELPHIA   PA
10110-9817CHICAGO        IL
10110-9866AURORA         CO
10110-9882BETHESDA       MD
10110-9890ALEXANDRIA     VA
10110-9891CHAPEL HILL    NC
10110-9892PITTSBURGH     PA
10110-9940METAIRIE       LA
10110-9977DURHAM         NC
10110-9990DURHAM         NC
10120-0000NASHVILLE      TN
10120-0024RUSSIAVILLE    IN
10120-0032COLUMBUS       GA
10120-0046NEW YORK       NY
10120-0057TAMPA          FL
10120-0059OAK PARK       IL
10120-0106RICHMOND       VA
10120-0154SACRAMENTO     CA
10120-0165AKRON          OH
10120-0193KNOXVILLE      TN
10120-0232CHICAGO        IL
10120-0251ANN ARBOR      MI
10120-0279LEBANON        NH
10120-0281WINSTON-SALEM  NC
10120-0382CHICAGO        IL
10120-0404MEMPHIS        TN
10120-0454GAINESVILLE    FL
10120-0474DALLAS         TX
10120-0487SAN ANTONIO    TX
10120-0507LOS ANGELES    CA
10120-0527SAN FRANCISCO  CA
10120-0532EVANS          GA
10120-0551CORPUS CHRISTI TX
10120-0565MINEOLA        NY
10120-0575MADISON        WI
10120-0595IOWA CITY      IA
10120-0636N8N 3S3 CANADA NY
10120-0751OAK PARK       MI
10120-0761KANSAS CITY    MO
10120-0767LAKEWOOD       CA
10120-0782BOSTON         MA
10120-0824PHOENIX        AZ
10120-0827ORANGE         CA
10120-0854PASADENA       CA
10120-0887PONCE          PR
10120-0919TUSCALOOSA     AL
10120-0968DETROIT        MI
10120-1055BROOKLYN       NY
10120-1076STONY BROOK    NY
10120-1077CAMBRIA HEIGHTSNY
10120-1080CHICAGO        IL
10120-1086JACKSONVILLE   FL
10120-1111SCARSDALE      NY
10120-1137GREAT NECK     NY
10120-1153AMHERST        NY
10120-1159FARMINGTON     CT
10120-1180TAMPA          FL
10120-1187NEW YORK       NY
10120-1238GREENVILLE     NC
10120-1247DENVER         CO
10120-1295SOUTH RIDING   VA
10120-1307TOLEDO         OH
10120-1322CHARLESTON     SC
10120-1389MARTINEZ       GA
10120-1391DALLAS         TX
10120-1400PITTSBURGH     PA
10120-1405NEW YORK       NY
10120-1423AUGUSTA        GA
10120-1475TAMPA          FL
10120-1486GROSSE PTE WDS MI
10120-1498LA JOLLA       CA
10120-1514ANN ARBOR      MI
10120-1525MEMPHIS        TN
10120-1583NEW ORLEANS    LA
10120-1593BELLEVILLE     IL
10120-1619FORREST HILLS  NY
10120-1638CHICAGO        IL
10120-1639SCOTTSDALE     AZ
10120-1653ALBUQUERQUE    NM
10120-1662MINNEAPOLIS    MN
10120-1688APO     AE     FL
10120-1769LOUISVILLE     KY
10120-1803PORTLAND       OR
10120-1836KANSAS CITY    MO
10120-1848PHILADELPHIA   PA
10120-1876IRVINE         CA
10120-1926CINCINNATI     OH
10120-1933COLUMBUS       OH
10120-1977LEBANON        NH
10120-1991MOSS POINT     MS
10120-2007SAN FRANCISCO  CA
10120-2012SOUTH BURLINGTOVT
10120-2026MINNEAPOLIS    MN
10120-2034LOS ANGELES    CA
10120-2090SAN DIEGO      CA
10120-2105WILLIAMSPORT   PA
10120-2107SACRAMENTO     CA
10120-2120NEW YORK       NY
10120-2172BROOKLYN       NY
10120-2182NEW YORK       NY
10120-2188WYNNEWOOD      PA
10120-2198MANHASSET      NY
10120-2208CHICAGO        IL
10120-2211SAN FRANCISCO  CA
10120-2217EDGEWATER      NJ
10120-2247PHILADELPHIA   PA
10120-2256GLEN COVE      NY
10120-2261STRATFORD      PE
10120-2263HALIFAX        NS
10120-2272NEW YORK       NY
10120-2275COLTON         CA
10120-2299NEW YORK       NY
10120-2307RICHMOND       VA
10120-2328NEW YORK       NY
10120-2337LOS ANGELES    CA
10120-2361PORTSMITH      VA
10120-2366DALLAS         TX
10120-2385BROOKLYN       NY
10120-2396PHILADELPHIA   PA
10120-2425CHESWICK       PA
10120-2461TEMPLE         TX
10120-2467SPOKANE        WA
10120-2489TAMPA          FL
10120-2528STANFORD       CA
10120-2587WINSTON-SALEM  NC
10120-2591BIRMINGHAM     AL
10120-2612NORCROSS       GA
10120-2646AKRON          OH
10120-2686IRVINE         CA
10120-2699COLUMBUS       OH
10120-2728HOUSTON        TX
10120-2741HOUSTON        TX
10120-2743CHICAGO        IL
10120-2746BLOOMFIELD HILLMI
10120-2779OAK BROOK      IL
10120-2790CLEVELAND HEIGHOH
10120-2800OAKLAND        CA
10120-2819EVANSTON       IL
10120-2868BALTIMORE      MD
10120-2929HOPKINSVILLE   KY
10120-2965SELMA          AL
10120-2977ATLANTA        GA
10120-2989SEATTLE        WA
10120-2992NEW ORLEANS    LA
10120-3073IRVING         TX
10120-3117MORGANTOWN     WV
10120-3124SHREVEPORT     LA
10120-3143HOUSTON        TX
10120-3156DES MOINES     IA
10120-3163TORONTO        ON
10120-3168CULVER CITY    CA
10120-3250BROOKLYN       NY
10120-3262DENVER         CO
10120-3272TUCSON         AZ
10120-3344MOBILE         AL
10120-3347WHITTIER       CA
10120-3361BURLINGTON     VT
10120-3379WHITTIER       CA
10120-3391SAN FRANCISCO  CA
10120-3393LOMA LINDA     CA
10120-3404ALBUQUERQUE    NM
10120-3433WESTMINSTER    CA
10120-3435SACRAMENTO     CA
10120-3460MINEOLA        NY
10120-3469SAN JUAN       PR
10120-3478SYRACUSE       NY
10120-3502TUPELO         MS
10120-3509GAINESVILLE    FL
10120-3511LOS ANGELES    CA
10120-3526GAINESVILLE    FL
10120-3536SAN JUAN       PR
10120-3566ST LOUIS       MO
10120-3603NEW YORK       NY
10120-3610STATEN ISLAND  NY
10120-3626PRINCETON      NJ
10120-3631BROOKLYN       NY
10120-3687KANSAS CITY    KS
10120-3713SYOSSET        NY
10120-3719CHICAGO        IL
10120-3721HARRISBURG     PA
10120-3732NEW YORK       NY
10120-3744NEW YORK       NY
10120-3751NEW YORK       NY
10120-3766AKRON          OH
10120-3791NORTH BERGEN   NJ
10120-3795TOWSON         MD
10120-3798POTOMAC        MD
10120-3799BALTIMORE      MD
10120-3844WASHINGTON     DC
10120-3864EAU CLAIRE     WI
10120-3876MEMPHIS        TN
10120-3888PITTSBURGH     PA
10120-3912TROY HILLS     NJ
10120-3922FRESH MEADOWS  NY
